headword,pet_dict,pet_old,pet_new,mw_old,mw_new,in_pwgissues
SiraHSUla,pw,¯K4AMAPAKA,¯K4AMPAKA,"<s>SiraH—SUla</s> ¦ <lex>n.</lex> violent head-ache, <ls>Suśr.</ls>; <ls>Kathās.</ls> &c.<…","<s>SiraH—SUla</s> ¦ <lex>n.</lex> violent headache, <ls>Suśr.</ls>; <ls>Kathās.</ls> &c.<i…",False
Sram,pwg,"<ls>TBR. 3,12,2,2. 3.</ls>","<ls>TBR. 3,12,2,2.</ls> <ls n=""TBR. 3,12,2,"">3.</ls>","<hom>1.</hom> <s>Sram</s> ¦ <ab>cl.</ab> 4. <ab>P.</ab> (<ls>Dhātup. xxvi, 95</ls>) <s>SrA…","<hom>1.</hom> <s>Sram</s> ¦ <ab>cl.</ab> 4. <ab>P.</ab> (<ls>Dhātup. xxvi, 95</ls>) <s>SrA…",False
Sru,pwg,"<ls n=""MBH."">5,211.</ls> <ls>R. 2,88,22.</ls> <ls>R. GORR. 2,17,19.</ls> <ls n=""R. GORR."">…","<ls n=""MBH."">5,211.</ls> <ls>R. 2,88,22.</ls> <ls>R. GORR. 2,17,19.</ls> <ls n=""R. GORR."">…","<ab>Subj.</ab> <s>Srozan</s> <ab>Impv.</ab> <s>Srozantu</s>, <ls>RV.</ls> [<ab>cf.</ab> <s…","<ab>Subj.</ab> <s>Srozan</s>, <ab>Impv.</ab> <s>Srozantu</s>, <ls>RV.</ls> [<ab>cf.</ab> <…",False
SuD,pwg,"<ls n=""VS."">5,26. 19,36.</ls>","<ls n=""VS."">5,26.</ls> <ls n=""VS."">19,36.</ls>","<div n=""vp""/> <ab>cl.</ab> 4. <ab>P.</ab> <ab>Ā.</ab> (<ls>Dhātup. xxvi, 82</ls>) <s>SuDya…","<div n=""vp""/> <ab>cl.</ab> 4. <ab>P.</ab> <ab>Ā.</ab> (<ls>Dhātup. xxvi, 82</ls>) <s>SuDya…",False
Suka,pwg,"<ls>R. 2,53,22</ls> (<ls n=""GORR. 2,53,"">24</ls> <ls>GORR.</ls>). <ls n=""R."">3,20,21.</ls>…","<ls>R. 2,53,22</ls> (<ls n=""GORR. 2,53,"">24</ls> <ls>GORR.</ls>). <ls n=""R."">3,20,21.</ls>…",Acacia Sirissa,<bot>Acacia Sirissa</bot>,False
Sukriya,pwg,"<ls>VS. 36-40.</ls> <ls>Ind. St. 3,267. fg.</ls> <ls>VS. Ausg. S. LV.</ls> {#SukriyAraRyak…","<ls>VS. 36</ls> — <ls n=""VS."">40.</ls> <ls>Ind. St. 3,267. fg.</ls> <ls>VS. Ausg. S. LV.</…","¦ <ab>N.</ab> of the <s1>Pravargya</s1> section or <ls>VS. 36</ls>-<ls n=""VS."">40</ls> (al…","¦ <ab>N.</ab> of the <s1>Pravargya</s1> section or <ls>VS. xxxvi</ls> — <ls n=""VS."">xxxx</…",True
Svas,pwg,"<ls>MĀRK. P. 23,73. 69,17.</ls> {#niSaSvAsorago yaTA#}","<ls>MĀRK. P. 23,73.</ls> <ls n=""MĀRK. P."">69,17.</ls> {#niSaSvAsorago yaTA#}",<hom>1.</hom> <s>Svas</s> ¦ (<ab>cf.</ab> √ <hom>3.</hom> <s>-Suz</s>) <ab>cl.</ab> 2. <ab…,<hom>1.</hom> <s>Svas</s> ¦ (<ab>cf.</ab> √ <hom>3.</hom> <s>Suz</s>) <ab>cl.</ab> 2. <ab>…,False
a,pwg,<L>1<pc>1-0001<k1>a<k2>a<h>1,<L>1<pc>1-0001<k1>>kuzWikAa<k2>a<h>1,,,False
aBUti,pw,"<div n=""1"">— 3〉 {%Unheil, Unglück%} <ls>MBH. 1,74,113. 2,81,24</ls>.","<div n=""1"">— 3〉 {%Unheil, Unglück%} <ls>MBH. 1,74,113.</ls> <ls n=""MBH."">2,81,24</ls>.","<s>a/-BUti</s> ¦ <lex>f.</lex> non-existence, <ls>ŚBr. xiv</ls>, ‘want of power’, wretched…","<s>a/-BUti</s> ¦ <lex>f.</lex> nonexistence, <ls>ŚBr. xiv</ls>, ‘want of power’, wretchedn…",False
aBi,pwg,"<ls n=""ŚAT. BR. 11,"">9,62,1.</ls> {#yenA^ na\H pUrve^ pi\tara^H pada\jYAH sva\rvido^ a\Bi …","<ls n=""ṚV."">9,62,1.</ls> {#yenA^ na\H pUrve^ pi\tara^H pada\jYAH sva\rvido^ a\Bi gA adri^m…","<hom>1.</hom> <s>aBi/</s> ¦ <lex>ind.</lex> (a prefix to verbs and nouns, expressing) to, …","<hom>1.</hom> <s>aBi/</s> ¦ <lex>ind.</lex> (a prefix to verbs and nouns, expressing) to, …",False
aDika,pw,¯SPR.7818.,¯Spr.7818.,aDika n. 2b,aDikam ind. 2c,False
aNga,pw,¯SPR.2706.,¯Spr.2706.,"attention, assent or desire, and sometimes impatience, it may be rendered by <!!!>well [ID…",punctuation is wrong,False
aSvayuj,pwg,"<ls>WEBER, Nakṣ. 1,312. 2,300. 316</ls> u.s.w. <ls>VARĀH. BṚH. S. 5,80. 7,10. 32,8.</ls>","<ls>WEBER, Nakṣ. 1,312. 2,300. 316</ls> u.s.w. <ls>VARĀH. BṚH. S. 5,80.</ls> <ls n=""VARĀH.…","<s>aSva—yu/j</s> ¦ (<s>k</s>), <lex>f.</lex> <ab>sg.</ab> <ab>N.</ab> of a constellation (…","<s>aSva—yu/j</s> ¦ (<s>k</s>), <lex>f.</lex> <ab>sg.</ab> <ab>N.</ab> of a constellation (…",True
aYj,pwg,"<ls>ŚAT. BR. 1,6,3,17. 7,1,1. 3,3,4,10. 5,2,18.</ls>","<ls>ŚAT. BR. 1,6,3,17.</ls> <ls n=""ŚAT. BR. 1,"">7,1,1.</ls> <ls n=""ŚAT. BR."">3,3,4,10.</ls…","<s>aYj</s> ¦ <ab>cl.</ab> 7. <ab>P.</ab> <ab>Ā.</ab> <s>ana/kti</s>, <s>aNkte/</s>, <s>A-n…","<s>aYj</s> ¦ <ab>cl.</ab> 7. <ab>P.</ab> <ab>Ā.</ab> <s>ana/kti</s>, <s>aNkte/</s>, <s>Ana…",False
adarSana,pw,M.!) *TODO*,paren change(s),"¦ disregard, neglect, non-appearance, latent condition disappearance<info lex=""inh""/>","¦ disregard, neglect, non-appearance, latent condition, disappearance<info lex=""inh""/>",False
adya,pw,¯SPR.7705.7726.,¯Spr.7705.7726.,<hom>2.</hom> <s>a-dya/</s> ¦ <lex>ind.</lex> (<lang>Ved.</lang> <s>adyA/</s>) (<ab>fr.</a…,<hom>2.</hom> <s>a-dya/</s> ¦ <lex>ind.</lex> (<lang>Ved.</lang> <s>adyA/</s>) (<ab>fr.</a…,False
agni,pwg,(Russian),огнь,"¦ (also) = next, <ls>ĀpŚr.</ls><info n=""sup""/><info lex=""inh""/>","¦ (also) = next [<s>agni-kzetra</s> the place for the fire-altar], <ls>ĀpŚr.</ls><info n=""…",False
agocara,pw,¯SPR.6408.,¯Spr.6408.,Revision Recheck,"Please note that the revision states: “insert m. after ‘Brahma’. Now, the question is: ""wh…",False
agra,pwg,"<ls>VS. 9,7. 23.</ls> {#BagavantAvagre vadatAm#}","<ls>VS. 9,7.</ls> <ls n=""VS. 9,"">23.</ls> {#BagavantAvagre vadatAm#}",Supplemental Definition Placement,You may choose to relocate this Supplemental definition within the Window Display. As Andh…,False
aja,pwg,"<ls>ŚAT. BR. 3,3,3,8. 9. 4,5,5,2. 5. 5,2,1,24.</ls>","<ls>ŚAT. BR. 3,3,3,8.</ls> <ls n=""ŚAT. BR. 3,3,3,"">9.</ls> <ls n=""ŚAT. BR."">4,5,5,2.</ls> …",Lith. $,Lith. oẓys,False
ajara,pwg,"<ls>TAITT. BR. 3,1,1,9. 2,8.</ls> {#ajarAmaravatprAjYo vidyAmarTaM ca cintayet#}","<ls>TAITT. BR. 3,1,1,9.</ls> <ls n=""TAITT. BR. 3,1,"">2,8.</ls> {#ajarAmaravatprAjYo vidyAm…",Jīrṇapañjhi,jīrṇaphañjī,False
ajina,pwg,"<ls>ŚAT. BR. 5,2,1,21. 24.</ls> {#EReyenAjinena brAhmaRaM rOraveRa kzatriyamAjena vESyam#}","<ls>ŚAT. BR. 5,2,1,21.</ls> <ls n=""ŚAT. BR. 5,2,1,"">24.</ls> {#EReyenAjinena brAhmaRaM rOr…",a couch seat,"a couch, seat",False
ajur,pw,¯R2v.,¯R2V.,ajur,ajura,False
alaMkAra,pw,"<div n=""1"">— 2〉 {%Schmuck%} <ls>TBR. 2,3,10,2. 4</ls>. Am Ende eines <ab>adj. Comp.</ab> <…","<div n=""1"">— 2〉 {%Schmuck%} <ls>TBR. 2,3,10,2.</ls> <ls n=""TBR. 2,3,10,"">4</ls>. Am Ende e…","<s>alaM—kAra/</s> ¦ <lex>m.</lex> the act of decorating, <ls>R. ii, 40, 13</ls>, (<ab>ifc.…","<s>alaM—kAra/</s> ¦ <lex>m.</lex> the act of decorating, <ls>R. ii, 40, 13</ls>, (<ab>ifc.…",True
alaka,pw,¯SPR.7792,¯Spr.7792,alaka,alakA,False
ali,pw,¯SPR.7691.,¯Spr.7691.,a corrupt pronunciation for aryas,a corrupt pronunciation for arayas,False
alpAlpaBAs,pw,¯MRGH.,¯MEGH.,l°ittle,"<ab n=""little"">l°</ab>",False
anAsTA,pw,¯Ragh.,¯RAGH.,unfixedness want of confidence,"unfixedness, want of confidence",False
antar,pwg,"<ls>PAÑCAT. I,24. 220,6</ls> ({#vihasya#}).","<ls>PAÑCAT. I,24.</ls> <ls n=""PAÑCAT."">220,6</ls> ({#vihasya#}).",Zend $,Zend. antarĕ,False
ap,pw,¯R2v.,¯R2V.,(Delta),Delete this. It is English rendering of the Greek letter δ,False
arDArDa,pw,¯SPR.232,¯Spr.232,"<s>arDA<srs/>rDa</s> ¦ <lex>mfn.</lex> ‘half of, the half of’, the fourth part of <ls>Pañc…","<s>arDA<srs/>rDa</s> ¦ <lex>mfn.</lex> ‘half of the half of’, the fourth part of <ls>Pañca…",False
arh,pw,¯C2AM5K. ‹zu› ¯BA7DAR,¯C2AM5K.zu.BA7DAR,p. arkat,p. arhat,False
as,pwg,"<ls>SĀH. D. 4,16. 20.</ls>","<ls>SĀH. D. 4,16.</ls> <ls n=""SĀH. D. 4,"">20.</ls>",<hom>2.</hom> <s>as</s> ¦ <ab>cl.</ab> 4. <ab>P.</ab> <s>a/syati</s> (<ab>p.</ab> <s>a/sya…,<hom>2.</hom> <s>as</s> ¦ <ab>cl.</ab> 4. <ab>P.</ab> <s>a/syati</s> (<ab>p.</ab> <s>a/sya…,False
asaMBava,pw,¯SPR.766.fg.,¯Spr.766.fg.,"<s>a/-saMBava</s> ¦ <lex>m.</lex> ‘non-existence’, destruction, <ls>VS. xl, 10</ls><info l…","<s>a/-saMBava</s> ¦ <lex>m.</lex> ‘nonexistence’, destruction, <ls>VS. xl, 10</ls><info le…",False
asadBAva,pw,¯NJA7JAS.S.1Z.2,"¯NJA7JAS.S.1,Z.2","<s>asad—BAva</s> ¦ <lex>m.</lex> non-existence, absence, <ls>Vedāntas.</ls> &c.<info lex=""…","<s>asad—BAva</s> ¦ <lex>m.</lex> nonexistence, absence, <ls>Vedāntas.</ls> &c.<info lex=""m…",False
atri,pw,"¯SPR.7620,7828.","¯Spr.7620,7828.",atri,átri,False
ava,pw,¯Av.,¯AV.,"¦ (<ab>cf.</ab> <s>nirava/t</s>.)<info lex=""inh""/>","¦ (<ab>cf.</ab> <s>nirava/</s>.)<info lex=""inh""/>",False
avasTAyin,pw,¯C2AM5K. ‹zu› ¯BA7DAR,¯C2AM5K.zu.BA7DAR,"<s>ava-sTAyin</s> ¦ <lex>mfn.</lex> staying residing in <ls>Kād.</ls> placed (behind, <s>p…","<s>ava-sTAyin</s> ¦ <lex>mfn.</lex> staying, residing in <ls>Kād.</ls> placed (behind, <s>…",False
bahu,pwg,"<ls n=""AV."">1,27,3.</ls> <ls n=""AV."">18,3,61.</ls> <ls>VS. 19,44.</ls> <ls n=""VS."">23,25.<…","<ls n=""AV."">1,27,3.</ls> <ls n=""AV."">18,3,61.</ls> <ls>VS. 19,44.</ls> <ls n=""VS."">23,25.<…","somewhat ; cf. bahu-tṛṇa, bahu-trivarṣa and, Pāṇ. v, 3, 68; bahu-√man = <!!!>to think much…","to think much of, esteem highly COMMA",False
bahudevata,pw,¯A7PST.,¯A7PAST.,"bahu—devatā f. an offering for many deities, ĀpY. [ID=143629.1 sup]","DELETE THE FOLLOWING: ""bahu—devatā f. an offering for many deities, ĀpY. [ID=143629.1 sup]…",False
baka,pw,"¯HEM.2,356","¯HEM.PAR.2,356",<bot> Ardea Nivea (often fig ... circumspection</bot>,<bot> Ardea Nivea</bot> (often fig ... circumspection,False
bfMhita,pw,¯SPR.7634.,¯Spr.7634.,bfMhita,bfMhitA,False
bhU,pw,"aus (Ahl. 64,22 )","aus (Abl. 64,22 )",lauded property,landed property,False
brahman,pwg,"<ls n=""VS."">4,37,11.</ls> {#yatre\daM brahma^ kri\yate^ pari\DirjIva^nAya\ kam#}","<ls n=""AV."">4,37,11.</ls> {#yatre\daM brahma^ kri\yate^ pari\DirjIva^nAya\ kam#}",Sūryat.,Sūryas.,False
brahmavAdin,pwg,"<ls>JAṬĀDH.</ls> im <ls>ŚKDR.</ls> <ls>AV. 11,3,26.</ls> <ls n=""AV."">15,1,8.</ls> <ls>TS. …","<ls>JAṬĀDH.</ls> im <ls>ŚKDR.</ls> <ls>AV. 11,3,26.</ls> <ls n=""AV."">15,1,8.</ls> <ls>TS. …","(finī., Var.","(inī f., Var.",False
camUpati,pwg,"<ls>VARĀH. BṚH. S. 50,21. 67,41. 65.</ls> {#asurARAm#}","<ls>VARĀH. BṚH. S. 50,21.</ls> <ls n=""VARĀH. BṚH. S."">67,41.</ls> <ls n=""VARĀH. BṚH. S. 67…","<s>camU—pati</s> ¦ <lex>m.</lex> <ab>id.</ab>, <ls>MBh. iii vi</ls>; <ls>R.</ls> &c.<info …","<s>camU—pati</s> ¦ <lex>m.</lex> <ab>id.</ab>, <ls>MBh. iii</ls>, <ls n=""MBh."">vi</ls>; <l…",True
ced,pwg,"<ls>PAÑCAT. II,66.</ls> <ls>HIT. I,178.</ls> <ls>ŚĀK. 71,11.</ls> <ls>RAGH. 2,48.</ls> <ls…","<ls>PAÑCAT. II,66.</ls> <ls>HIT. I,178.</ls> <ls>ŚĀK. 71,11.</ls> <ls>RAGH. 2,48.</ls> <ls…",cen [iti cen],ced [iti ced],False
ci,pw,"<div n=""1"">— 2〉 {%ausfindig machen%} <ls n=""Chr."">156,6</ls>. {%erkennen%} <ls>Spr. 1405</…","<div n=""1"">— 2〉 {%ausfindig machen%} <ls n=""Chr."">156,6</ls>. {%erkennen%} <ls>Spr. 1405</…",Desid. Caus.,has to be in bold characters; Pass. also is not and should be,False
cit,pwg,"<ls>VS. 1,18. 12,46. 53.</ls>","<ls>VS. 1,18.</ls> <ls n=""VS."">12,46.</ls> <ls n=""VS. 12,"">53.</ls>","<div n=""vp""/><ab>Caus.</ab> <s>ceta/yati</s>, <s>°te</s> (2. <ab>pl.</ab> <s>ceta/yaDvam</…","<div n=""vp""/><ab>Caus.</ab> <s>ceta/yati</s>, <s>°te</s> (2. <ab>pl.</ab> <s>ceta/yaDvam</…",False
cukrAmla,pw,"¯Ra7g4an4.6,125.","¯RA7G4AN.6,125.",cukrAmla,cukrAmlA,False
cukraka,pw,¯K4ARKA.,¯K4ARAKA.,cukraka,cukrikA,False
cyu,pwg,"<ls>MĀRK. P. 15,38. 79.</ls>","<ls>MĀRK. P. 15,38.</ls> <ls n=""MĀRK. P. 15,"">79.</ls>","<div n=""to""/>to deviate from (<ab>abl.</ab>), abandon (duty &c., <ab>abl.</ab>; exceptiona…","<div n=""to""/>to deviate from (<ab>abl.</ab>), abandon (duty &c., <ab>abl.</ab>; exceptiona…",True
d,sch,,,a a,v v,False
dA,pwg,"<ls>MĀRK. P. 21,93. 44,39.</ls> {#yaM yamarTamupAdatte duHKena#}","<ls>MĀRK. P. 21,93.</ls> <ls n=""MĀRK. P."">44,39.</ls> {#yaM yamarTamupAdatte duHKena#}","<div n=""to""/>to give back, <ls n=""Kathās."">222 f.</ls>; <ls>MBh. iii</ls>; <ls>Pañcat.</ls…","<div n=""to""/>to give back, <ls n=""Mn. viii,"">222 f.</ls>; <ls>MBh. iii</ls>; <ls>Pañcat.</…",True
dAmalipta,pw,¯VP.^2,¯VP.²,"<s>dAmalipta</s> ¦ <lex>f.</lex> <lex>n.</lex> <ab>N.</ab> of a town, <ls>Daśak.</ls> (<ab…","<s>dAmalipta</s> ¦ <lex>n.</lex> and (<s>A</s>), <lex>f.</lex> <ab>N.</ab> of a town, <ls>…",False
dAna,pwg,"<ls>MĀRK. P. 15,64. 56.</ls> ad <ls>HIT. 27,16.</ls> {#yaTA cAjYe 'PalaM dAnam#}","<ls>MĀRK. P. 15,64.</ls> <ls n=""MĀRK. P. 15,"">56.</ls> ad <ls>HIT. 27,16.</ls> {#yaTA cAjY…","communicating, imparting, teaching (cf. brakma-)","communicating, imparting, teaching (cf. brahma-)",False
dAra,pw,¯BHA7G.P.),¯BHA7G.P. ),"strangely, Vārtt. 4 is underlined but the explanation is not opening contrary to the other…",,False
dAtyOha,pwg,"<ls>ŚABDAR.</ls> im <ls>ŚKDR.</ls> <ls>VS. 24,25. 39.</ls> Nach <ls>P. 7,3,1</ls> von {#di…","<ls>ŚABDAR.</ls> im <ls>ŚKDR.</ls> <ls>VS. 24,25.</ls> <ls n=""VS. 24,"">39.</ls> Nach <ls>P…","<s>dA°tyOha/</s> ¦ <lex>m.</lex> a gallinule, <ls>VS. xxiv, 25, 39</ls>; <ls>MaitrS. iii, …","<s>dA°tyOha/</s> ¦ <lex>m.</lex> a gallinule, <ls>VS. xxiv, 25</ls>; <ls n=""VS. xxiv,"">39<…",True
dah,pwg,"<ls n=""TS."">7.</ls> <ls>KĀṬH. 10,10. 21,8.</ls>","<ls n=""TS. 2,1,4,"">7.</ls> <ls>KĀṬH. 10,10. 21,8.</ls>",degú,degù,False
dahana,pwg,"<ls>VARĀH. BṚH. S. 7,1. 31,7. 98,1.</ls> {#kopa°#}","<ls>VARĀH. BṚH. S. 7,1.</ls> <ls n=""VARĀH. BṚH. S."">31,7.</ls> <ls n=""VARĀH. BṚH. S."">98,1…",dahana,dahana,False
