err_type,pwg_err,correct,mw_recorded,mw_has_correct,mw_has_error,status
?,titaqa,titau,,True,False,mw_correct
?,titaqa,titau,,True,False,mw_correct
?,tiryadvidDa,tiryagvidDa,,True,False,mw_correct
?,tuvazvaRas,tuvizvaRas,,True,False,mw_correct
?,tURryarTa,tUrRyarTa,,True,False,mw_correct
?,teYc,taYc,,True,False,mw_correct
?,dahama,dahana,,True,False,mw_correct
?,saSraya,saMSraya,,True,False,mw_correct
?,andhatAmimra,andhatAmisra,,False,False,mw_absent
?,kaNThartin,kaNThavartin,,False,False,mw_absent
?,kartRpara,kartRpura,,False,False,mw_absent
?,kAmagharaNa,kAmadharaNa,,False,False,mw_absent
?,kAmasAkha,kAmasakha,,False,False,mw_absent
?,kArNAcchidraka,kArNacchidraka,,False,False,mw_absent
?,kuDmAlita,kuDmalita,,False,False,mw_absent
?,kutha,kuth,,False,False,mw_absent
?,kITIra,koTIra,,False,False,mw_absent
?,galitapadIpa,galitapradIpa,,True,False,mw_correct
?,caNDadIghiti,caNDadIdhiti,,False,False,mw_absent
?,devadArUmaya,devadArumaya,,True,False,mw_correct
?,dharmaghAtu,dharmadhAtu,,False,False,mw_absent
?,pRthavIparipAlaka,pRthivIparipAlaka,,False,False,mw_absent
?,pathvIkuravaka,pRthvIkuravaka,,False,False,mw_absent
?,bRhaDkkA,bRhaDDhakkA,,False,False,mw_absent
?,bhaR2,bhar,,False,False,mw_absent
?,bhUp,bhUS,,False,False,mw_absent
?,maNIkaNThaka,maNikaNThaka,,False,False,mw_absent
?,anAbhijita,anabhijita,,False,False,mw_absent
?,asUya,asUy,,False,True,shares_error
?,AzaMmana,AzaMsana,,False,False,mw_absent
?,u,utpulaka,,True,True,mw_correct
?,goya,geya,,True,False,mw_correct
?,dvaMdIbhU,dvaMdvIbhU,,False,False,mw_absent
?,retoghA,retodhA,,False,False,mw_absent
?,vara,var,,False,True,shares_error
?,savRt,saMvRt,,False,False,mw_absent
?,savRt,saMvRt,,False,False,mw_absent
?,karavatt,karavant,,False,False,mw_absent
?,sutarAs,sutarAm,,True,False,mw_correct
?,bhAvArthadIpiphA,bhAvArthadIpikA,,False,False,mw_absent
?,anardhyarAghava,anarghyarAghava,,False,False,mw_absent
?,pRSTamAMsAdana,pRSThamAMsAdana,,False,False,mw_absent
?,vRMddhadAraka,vRddhadAraka,,False,False,mw_absent
?,vIrabhradraka,vIrabhadraka,,False,False,mw_absent
?,satyaparAkama,satyaparAkrama,,True,False,mw_correct
?,pratvasthAtar,pratyavasthAtar,,False,False,mw_absent
?,stabhbakaritA,stambakaritA,,True,False,mw_correct
?,Abaradvasava,Abharadvasava,,False,False,mw_absent
?,sapasuganDA,sarpasuganDA,,True,False,mw_correct
?,maRivanDa,maRibanDa,,True,False,mw_correct
?,maRivanDana,maRibanDana,,True,False,mw_correct
