dict,level,n1_form,n2_git,m_overlap,false_matches,audited
inm,clean,65,43,0,0,1
inm,repair,65,43,0,0,1
inm,form_key,65,43,1,0,1
inm,norm,64,42,3,0,1
inm,ed1,65,43,3,1,1
inm,form_key+alias,80,43,2,,1
md,exact,13,940,0,0,1
md,clean,13,940,0,0,1
md,repair,13,940,0,0,1
md,form_key,13,940,0,0,1
md,norm,13,927,1,0,1
md,ed1,13,940,3,3,1
md,form_key+alias,14,940,0,,1
mw,exact,1243,5580,105,0,1
mw,clean,1234,5579,113,0,1
mw,repair,1232,5579,126,0,1
mw,form_key,1232,5575,129,1,1
mw,norm,1214,5391,169,42,1
mw,ed1,1234,5579,362,474,1
mw,form_key+alias,1443,5575,131,,1
mw72,exact,113,72,0,0,1
mw72,clean,113,72,0,0,1
mw72,repair,113,72,0,0,1
mw72,form_key,113,72,0,0,1
mw72,norm,113,72,0,0,1
mw72,ed1,113,72,2,2,1
mw72,form_key+alias,166,72,0,,1
mwe,exact,55,79,0,0,1
mwe,clean,55,79,1,0,1
mwe,repair,55,79,1,0,1
mwe,form_key,55,79,1,0,1
mwe,norm,55,79,1,0,1
mwe,ed1,55,79,4,2,1
mwe,form_key+alias,75,79,1,,1
pui,exact,557,204,0,0,1
pui,clean,556,204,0,0,1
pui,repair,556,204,0,0,1
pui,form_key,555,204,2,0,1
pui,norm,538,202,6,0,1
pui,ed1,556,204,2,0,1
pui,form_key+alias,755,204,4,,1
pw,exact,9702,1369,169,0,1
pw,clean,9667,1369,171,0,1
pw,repair,9667,1369,192,0,1
pw,form_key,9666,1369,196,0,1
pw,norm,9513,1364,265,17,1
pw,ed1,9667,1369,735,606,1
pw,form_key+alias,9758,1369,196,,1
pwg,exact,148,1918,1,0,1
pwg,clean,148,1918,1,0,1
pwg,repair,148,1918,1,0,1
pwg,form_key,148,1918,1,0,1
pwg,norm,148,1903,1,0,1
pwg,ed1,148,1918,9,12,1
pwg,form_key+alias,198,1918,1,,1
sch,exact,73,405,0,0,1
sch,clean,73,405,0,0,1
sch,repair,73,405,0,0,1
sch,form_key,73,405,0,0,1
sch,norm,72,404,0,0,1
sch,ed1,73,405,0,0,1
sch,form_key+alias,95,405,0,,1
shs,exact,160,430,0,0,1
shs,clean,160,430,0,0,1
shs,repair,160,430,0,0,1
shs,form_key,160,430,0,0,1
shs,norm,160,426,0,0,1
shs,ed1,160,430,1,0,1
shs,form_key+alias,227,430,0,,1
skd,exact,323,126,0,0,1
skd,clean,323,126,0,0,1
skd,repair,323,126,0,0,1
skd,form_key,320,124,0,0,1
skd,norm,315,123,2,0,1
skd,ed1,323,126,4,0,1
skd,form_key+alias,502,124,2,,1
stc,exact,76,160,5,0,1
stc,clean,76,160,5,0,1
stc,repair,76,160,5,0,1
stc,form_key,76,160,5,0,1
stc,norm,75,160,5,0,1
stc,ed1,76,160,11,8,1
stc,form_key+alias,90,160,5,,1
vcp,exact,389,237,0,0,1
vcp,clean,389,237,0,0,1
vcp,repair,389,237,0,0,1
vcp,form_key,389,237,0,0,1
vcp,norm,388,237,0,0,1
vcp,ed1,389,237,0,0,1
vcp,form_key+alias,579,237,0,,1
vei,exact,40,89,0,0,1
vei,clean,40,89,0,0,1
vei,repair,40,89,0,0,1
vei,form_key,40,89,0,0,1
vei,norm,40,89,1,0,1
vei,ed1,40,89,3,1,1
vei,form_key+alias,54,89,0,,1
wil,exact,1128,63,0,0,1
wil,clean,1126,63,0,0,1
wil,repair,1126,63,0,0,1
wil,form_key,1126,63,0,0,1
wil,norm,1123,63,0,0,1
wil,ed1,1126,63,0,0,1
wil,form_key+alias,1700,63,0,,1
yat,exact,207,250,0,0,1
yat,clean,207,250,0,0,1
yat,repair,207,250,0,0,1
yat,form_key,207,250,0,0,1
yat,norm,206,247,0,0,1
yat,ed1,207,250,0,0,1
yat,form_key+alias,290,250,0,,1
