scan_dir	tracker_spelling	spelling_matches	repo_exists	repo_url	pages_url	default_branch	size_kb	pushed_at	resolver_wired	resolver_evidence	note
raghuvamsacalc	raghuvamsacalc	yes	true	https://github.com/sanskrit-lexicon-scans/raghuvamsacalc	https://sanskrit-lexicon-scans.github.io/raghuvamsacalc/	main	282564	2025-04-15	yes	lines 283, 741, 894	Exact match. The 'calc' variant paired with raghuvamsa; org has the same pattern for rajatar/rajatarcalc and mbhcalc.
rajatar	rAjatar	NO	true	https://github.com/sanskrit-lexicon-scans/rajatar	https://sanskrit-lexicon-scans.github.io/rajatar/	main	258478	2025-05-13	yes	lines 271, 883  (LOWERCASE 'rajatar'; tracker column says 'rAjatar' — case mismatch on join)	Wired as lowercase 'rajatar'. The tracker writes 'rAjatar'; GitHub Pages paths are case-sensitive, so a viewer link built from the tracker spelling 404s. Tracker defect, not a wiring gap.
ramayanabom	ramayanabom	yes	true	https://github.com/sanskrit-lexicon-scans/ramayanabom	https://sanskrit-lexicon-scans.github.io/ramayanabom/	main	935101	2025-04-04	yes	lines 485, 488, 507, 647, 655, 656	Wired via 'R. ed. Bomb.' / bare 'R. 7,x,y'. The tracker's display label 'R. (Bomb.)' itself resolves to None -- a label mismatch, not a missing target.
rvps	rvps	yes	true	https://github.com/sanskrit-lexicon-scans/rvps	https://sanskrit-lexicon-scans.github.io/rvps/	main	568309	2026-06-26	no		HARD UNWIRED: 'rvps' appears 0 times in ls_resolver.py. The only Pratisakhya-shaped pattern routes RV. PRATIS. to the Rgveda hymn pages, so a Pratisakhya adhyaya,sutra reference MISLINKS to an unrelated RV hymn anchor; the tracker's own 'RV. PRAT.' spelling matches no pattern at all.
sahityadarpana	sahityadarpana	yes	true	https://github.com/sanskrit-lexicon-scans/sahityadarpana	https://sanskrit-lexicon-scans.github.io/sahityadarpana/	main	187938	2025-10-23	yes	lines 461, 463	Exact match. Org also has a separate sahityadarpana_mw repo not in the tracker list.
shakuntala	shakuntala	yes	true	https://github.com/sanskrit-lexicon-scans/shakuntala	https://sanskrit-lexicon-scans.github.io/shakuntala/	main	204996	2025-07-12	yes	lines 301, 303, 305, 869, 872	Exact match, public, Pages enabled.
taittiriyabr	taittiriyabr	yes	true	https://github.com/sanskrit-lexicon-scans/taittiriyabr	https://sanskrit-lexicon-scans.github.io/taittiriyabr/	main	819656	2025-07-12	partial	line 381	Resolves only at 4-parameter arity; 'TBR. 1,2,3' returns None with no fallback -- uppercase 'TBR.' is absent from the prefix map.
taittiriyas	taittiriyas	yes	true	https://github.com/sanskrit-lexicon-scans/taittiriyas	https://sanskrit-lexicon-scans.github.io/taittiriyas/	main	463183	2025-07-12	partial	lines 378, 756	Resolves only at 4-parameter arity; 'TS. 1,2,3' and 'TS. 1,2' return None. The 3-param helper exists but its dispatch branch is unreachable (prefix-map value never equals the tested literal).
vajasasa	vajasasa	yes	true	https://github.com/sanskrit-lexicon-scans/vajasasa	https://sanskrit-lexicon-scans.github.io/vajasasa/	main	314846	2025-11-08	yes	lines 268, 749	Exact match. Second-most-recently pushed of the 37 (Nov 2025).
vikramor	vikramor	yes	true	https://github.com/sanskrit-lexicon-scans/vikramor	https://sanskrit-lexicon-scans.github.io/vikramor/	main	370593	2025-08-12	yes	lines 394, 396, 791	"Exact match. Description is ""'Vikramorvaśī"" (stray leading apostrophe in the repo description itself, harmless). Untracked sibling vikramor_mw exists."
yajnavalkya	yajnavalkya	yes	true	https://github.com/sanskrit-lexicon-scans/yajnavalkya	https://sanskrit-lexicon-scans.github.io/yajnavalkya/	main	15384	2025-07-12	yes	lines 277, 915	Exact match. Smallest of the 37 at ~15 MB.
